Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited
CARRICK,42,30,12,,22,17,5,,17,17,4,,14,11,5,,11,7,2,,8,6,2,
CHURCHLAND,13,9,3,1,1,5,1,1,,,,1,,,,,13,8,4,1,10,8,4,1
COOLAFUNSHOGE,64,69,24,,50,66,19,,44,42,13,,38,24,11,2,31,24,10,,27,27,10,
COOLROSS,12,8,4,,9,13,4,,32,19,8,,44,30,12,,30,23,10,,9,8,3,
CROSS,13,12,5,,10,10,3,,9,9,4,,12,8,4,,5,8,4,,8,6,4,
CURRAVANISH,55,39,15,,46,44,15,,36,35,13,,41,34,13,,39,31,13,,36,32,13,
FARNEES,70,77,27,,56,44,21,3,41,41,14,,31,38,19,,21,29,8,,20,29,8,
GARRYHOE,58,52,17,,40,36,14,1,43,30,14,,37,30,14,,36,35,13,,46,34,14,
GLENPHILIPEEN,61,61,21,,40,39,16,,17,18,9,,23,21,8,1,22,20,8,,13,14,5,1
KNOCKNABOLEY,117,118,33,1,86,88,25,3,68,62,21,,66,47,17,2,63,40,17,,47,34,18,2
KYLE,54,40,15,,29,34,12,,41,48,11,,42,40,10,,33,27,10,,24,23,9,
LUGDUFF,52,51,17,,61,72,19,,55,55,17,,63,69,22,,58,55,23,3,36,41,15,1
MANGANS,41,45,14,,34,33,13,,33,26,11,,24,22,10,,28,20,9,,24,23,9,
MULLANNASKEAGH,17,19,7,,6,4,1,,4,5,1,,11,11,3,,9,5,3,,3,2,2,1
MULLANS NORTH,51,56,15,,18,13,4,,18,15,6,,14,17,5,,18,11,5,,2,1,1,
MULLANS SOUTH,50,40,14,,37,38,10,,23,19,6,,26,19,6,,19,17,5,,33,22,8,
MUSKEAGH,63,46,17,,33,38,14,1,25,32,11,,30,30,11,,29,23,10,,22,19,9,
RAHEENTEIGE,27,22,8,,19,21,5,1,16,22,4,,13,20,4,,13,15,4,,13,9,4,
ROSBANE,90,89,28,,45,57,19,,30,44,14,,40,57,15,,49,49,14,,41,35,14,
TINAHELY,13,8,3,,9,4,2,,17,9,5,,12,19,4,,6,11,2,,3,2,2,
WHITEFIELD,44,43,17,1,19,26,10,2,16,10,7,1,31,21,8,,25,19,8,1,22,12,7,2
WHITEROCK,47,47,14,,33,30,10,2,37,29,10,,29,30,9,,33,27,9,,30,24,11,
,1455,1384,451,4,963,1003,327,23,820,779,271,7,830,788,265,5,771,675,250,10,626,546,228,14
TINAHELY T,316,324,99,8,266,296,94,15,249,261,86,3,245,250,84,,216,242,88,3,253,259,101,5
TOTAL,1771,1708,550,12,1230,1298,421,38,1069,1040,357,10,1075,1038,349,5,987,917,338,13,879,805,329,19
BALLAGH,51,58,18,,30,40,10,,28,21,9,,19,13,6,1,20,19,7,1,23,18,8,
BALLYMANUS,126,124,37,,79,86,24,2,57,51,18,,51,53,18,,47,45,15,,40,34,13,2
CLONE,69,54,22,,34,37,13,,24,25,10,1,18,19,8,,21,29,9,,25,24,9,1
COOLALUG,65,64,19,,30,29,11,1,31,24,9,1,26,29,10,,30,38,12,,18,20,10,1
COOLBAWN or COOLBALLINTAGGART,109,87,27,,90,72,24,,65,62,20,,45,44,18,,44,45,17,,42,41,15,1
CURRAGHLAWN,61,52,15,2,31,34,13,7,23,25,11,1,20,29,11,1,10,20,8,2,14,11,7,2
KILLACLORAN,182,172,52,1,131,133,47,2,132,134,49,2,143,135,55,,126,113,43,1,134,107,43,2
KILLADUFF,19,19,6,,11,10,3,1,12,9,4,,2,1,1,1,7,6,3,,7,4,2,
KILLAVENY,190,198,67,1,126,123,49,1,113,106,45,,76,65,28,,71,51,22,1,46,39,17,1
KILPIPE,66,78,26,,52,58,18,,50,61,19,,40,47,16,,31,33,13,,43,38,12,
MUCKLAGH (ED Kilpipe),98,87,34,,65,60,25,,36,43,14,,31,27,10,,23,19,7,,32,20,7,
RODDENAGH,54,66,16,,25,18,7,,12,14,6,,23,17,9,,25,21,9,,24,21,10,
ROSNASTRAW,113,126,40,,73,90,28,,67,75,26,,55,59,18,,43,42,18,,32,32,16,
TOBERLOWNAGH,63,65,22,1,49,43,22,,47,51,20,1,34,33,14,,29,37,12,,27,28,11,1
TOBERPATRICK,124,120,40,1,85,60,29,1,64,53,25,2,40,31,13,1,39,39,15,,40,35,12,
TOMANIERIN LOWER,11,11,4,,15,8,3,,11,7,2,,9,5,2,,6,4,2,,6,6,2,
TOMANIERIN UPPER,6,14,2,,8,10,2,,6,12,3,,8,14,4,,3,7,2,1,5,7,2,
TOMNASKELA,43,34,13,1,44,39,13,,18,20,8,,25,22,10,,28,25,11,,25,20,11,
TOTAL,1450,1429,460,7,978,950,341,15,796,793,298,8,675,643,250,4,603,593,223,6,583,505,207,11
BALLINGUILE,144,144,52,,17,20,7,,65,69,25,,59,54,24,,55,48,22,,43,31,20,1
BALLINGUILEHILL,3,1,1,,,,,,,,,,,,,,,,,,,,,
CARRIGATHEME,,,,,,,,,,,,,,,,,,,,,,,,
KNOCKNAGREE,15,20,3,,10,8,2,,7,6,2,,8,7,2,,8,7,2,,5,3,2,
LYBAGH,,,,,,,,,,,,,,,,,,,,,,,,
RATHCOYLE LOWER,8,4,1,1,,,,,,,,,,,,,,,,1,,,,
RATHCOYLE UPPER,,,,,1,1,1,1,4,5,1,1,9,5,1,,4,3,1,,5,3,1,1
SLIEVEBOY LOWER,28,14,7,,7,6,3,,2,2,1,1,5,4,2,,4,3,1,,3,2,1,
SLIEVEBOY UPPER,,,,,,,,,,,,,,,,,,,,,,,,
SLIEVEMAAN,,,,,,,,,,,,,,,,,,,,,,,,
SLIEVENAMOUGH,48,46,15,1,29,24,9,,20,18,6,,19,18,7,,15,14,7,,10,12,6,
SLIEVENAMOUGH PLAIN,21,14,5,,4,5,1,,12,11,4,,11,3,3,,6,7,3,,7,8,2,1
TOORBOY,34,28,10,,20,29,6,,13,15,5,,23,16,6,,23,21,6,,24,21,7,
,301,271,94,2,88,93,29,1,123,126,44,2,,,,,,,,,,,,
BALHAGUILE T,,,,,79,71,29,,,,,,,,,,,,,,,,,
TOTAL,301,271,94,2,167,164,58,1,123,126,44,2,134,107,45,,117,101,42,1,97,80,39,3
CAMENABOLOGUE,,,,,,,,,4,3,1,,,,,,,,,,,,,
CARRAWAYSTICK,9,11,4,1,47,40,12,,13,19,6,2,6,8,3,,,,,,1,1,1,
DRUMGOFF,59,45,14,1,40,23,9,1,25,15,4,1,28,26,3,,,,,,8,10,2,1
TOTAL,68,45,18,2,87,63,21,1,42,37,11,3,34,34,6,,,,,,9,11,3,1
AGHAVANNAGH MOUNTAIN,,,,,,,,,,,,,,,,,,,,,,,,
ASKANAGAP,56,51,20,1,58,57,20,1,41,47,17,,33,31,16,1,,,,,15,26,12,1
BALLYCURRAGH,26,29,8,,16,18,5,1,13,16,5,,20,20,7,,,,,,7,9,4,
BALLYGOBBAN,41,32,11,,30,30,12,,27,22,9,,11,14,5,,,,,,5,2,2,
BALLYMAGHROE,18,15,5,,14,11,5,,18,15,7,,21,23,8,,,,,,16,25,9,
BALLYTEIGE,6,9,3,,14,13,4,,11,11,4,,14,12,4,,,,,,5,6,2,
BARNAMEELIA,3,7,1,,4,2,1,1,15,10,5,,14,12,4,,,,,,7,4,3,1
BLACKROCK,9,9,3,1,2,2,1,,8,6,3,,15,12,5,,,,,,14,10,3,
CARRIGROE,51,48,14,1,30,31,8,1,19,19,7,,17,12,6,,,,,,14,11,5,1
COOLBALLINTAGGART,46,35,12,1,18,25,5,1,33,29,9,,17,18,2,1,,,,,13,9,5,1
CORNDOG,36,37,8,1,20,19,5,,7,8,3,,9,11,8,,,,,,2,2,1,1
FARBREAGA,27,29,9,,13,13,4,1,17,18,7,,30,24,8,,,,,,14,15,5,
MOYNE,51,43,18,1,51,52,18,3,44,33,17,2,37,38,15,,,,,,25,22,13,1
SHEILSTOWN,17,17,6,,11,8,3,,10,13,6,,16,20,6,,,,,,10,14,4,
SLIEVEMWEEL,108,103,36,,56,43,20,1,35,29,16,,23,23,11,,,,,,20,20,9,
SLIEVEROE,67,74,21,,48,63,16,,40,42,14,,26,32,12,,,,,,19,24,12,
TOTAL,562,538,175,6,385,387,127,10,338,318,129,2,303,302,118,2,,,,,186,199,89,6
ASKAKEAGH,104,99,31,,50,44,17,4,27,22,9,1,28,23,9,,,,,,20,27,7,1
BELLINGLEN,111,111,31,3,87,90,26,5,63,61,21,1,46,65,18,1,,,,,46,48,14,2
DRUMMIN,39,40,12,2,39,30,12,,42,29,12,,39,29,10,,,,,,30,30,9,1
KILBALLYOWEN,249,241,75,,146,131,45,4,105,86,35,2,88,89,31,,,,,,59,65,25,2
PREBAN,50,58,13,,40,42,14,,36,32,12,1,32,30,13,1,,,,,36,33,13,
TOMCOYLE,37,37,10,,13,14,4,1,6,16,3,,9,18,3,,,,,,3,8,1,
TOTAL,590,586,172,5,375,351,118,14,279,246,92,5,242,254,84,2,,,,,194,211,69,6
TOTAL OF BARONY,,,,,,,,,,,,,,,,,,,,,3169,2948,1204,87
BALLINAHINCH (ED Killiskey),9,9,3,,20,14,5,,14,18,5,,11,13,5,,,,,,8,4,3,
BALLINASHINNAGH,16,14,5,,22,25,6,,11,11,3,1,13,8,4,,,,,,5,2,2,
BALLINASOOSTIA,25,18,4,2,8,11,3,,7,7,3,,7,10,2,1,,,,,2,6,2,
CARRIGGOWER,159,139,50,1,114,109,34,3,73,61,19,2,59,55,18,1,,,,,52,36,18,2
DOWNSHILL,178,208,60,2,112,105,45,,63,52,23,1,59,37,19,,,,,,24,20,9,
DRUMBAWN,104,97,34,2,74,62,23,,27,31,8,,38,32,11,,,,,,9,7,4,
KNOCKATEMPLE,38,33,8,,23,13,5,1,20,12,5,,13,10,4,,,,,,14,13,3,1
KNOCKRAHEEN,184,156,50,1,116,111,33,,98,87,28,,98,81,30,,,,,,72,59,25,3
TITHEWER,9,18,4,,11,14,5,,12,13,4,,11,15,5,,,,,,7,4,3,1
TOTAL,722,692,218,8,500,464,159,4,325,292,98,4,309,261,98,2,,,,,193,151,67,7
ANNAGOLAN,36,39,10,,13,13,4,,12,15,4,,13,15,4,,,,,,13,16,3,
BALLARDBEG,27,43,9,,34,35,13,,14,15,6,7,15,11,6,2,,,,,14,13,6,1
CRONYBYRNE,18,16,7,,,,,,,,,,,,,,,,,,,,,
CRONYBYRNE DEMESNE,13,7,2,,8,6,3,,10,8,2,,43,34,12,,,,,,6,12,4,1
GLENWOOD,1,,1,,28,30,9,,1,3,1,,1,3,1,,,,,,2,2,1,
KILMULLIN (ED Moneystown),45,47,13,,23,21,6,1,17,17,5,,14,12,5,,,,,,8,10,3,2
KNOCKAPHRUMPA,26,28,8,,29,14,5,,17,13,5,,26,26,10,,,,,,15,17,5,1
MONEYSTOWN HILL,28,31,10,,21,32,7,,18,12,4,,12,10,3,,,,,,16,7,6,
MONEYSTOWN NORTH,67,56,19,,47,50,18,1,41,46,16,1,47,42,20,2,,,,,28,35,12,
MONEYSTOWN SOUTH,24,22,8,,17,17,4,,15,15,4,,14,10,2,,,,,,10,13,5,2
MOYNTIAGH,36,35,9,,28,33,8,,20,25,7,,28,23,9,1,20,18,7,3,25,14,6,
PARKMORE,68,57,19,,49,40,13,1,44,40,13,,42,38,11,,37,37,11,,36,24,10,
PARKROE,44,46,12,,27,27,10,,24,12,6,,18,13,6,,16,10,5,,8,6,4,
SLEANAGLOGH,34,36,9,,30,32,9,,23,23,8,,18,19,7,,11,16,5,,6,9,4,1
TOTAL,467,463,136,,354,350,109,3,256,244,81,8,298,256,96,5,237,239,80,3,187,178,69,8
GLEBE (ED Wicklow Urban),,,,,,,,,,,,,,,,,,,,,,,,
BALLINACOOLEY,51,45,16,,43,38,13,,40,42,14,1,36,39,17,1,27,10,10,,22,18,10,
BALLYDOWLING,57,51,19,,51,54,18,,61,50,15,,38,39,13,,29,28,10,1,34,28,11,
BALLYFREE EAST,19,17,4,,23,24,11,2,34,29,12,3,19,18,9,2,20,19,9,2,15,25,10,2
BALLYFREE WEST,5,7,2,,18,20,6,2,10,21,6,,14,31,6,,8,12,7,3,11,18,7,
BALLYKILLAVANE,33,29,10,,21,22,9,,41,29,12,,15,18,8,,12,17,8,,18,22,9,
BALLYKNOCKAN BEG,17,14,4,,13,9,4,,18,17,4,,11,12,4,,11,9,8,,15,13,3,
BALLYKNOCKAN MORE,5,3,1,,8,4,1,,9,8,1,,4,8,1,,4,5,1,,4,4,1,
BALLYMACSIMON,17,18,6,,11,15,4,,11,11,3,,5,5,3,,12,5,3,,9,11,4,
BALLYMANUS LOWER,8,17,7,,24,24,7,,27,15,6,,23,19,7,2,18,21,10,1,16,9,6,5
BALLYMANUS UPPER,39,38,16,,14,14,5,,13,9,4,,8,7,3,,5,8,2,,7,9,3,
BALLYMERRIGAN,20,18,6,,26,16,5,,33,19,5,,19,17,5,,19,22,6,,17,18,6,
BALLYMOAT,13,12,3,,42,45,17,,60,55,18,4,28,34,14,,18,25,10,,26,33,13,1
BALLYNABARNY,125,113,41,,83,101,30,1,66,64,23,1,39,38,17,1,34,41,14,2,37,33,13,3
COOLNAKILLY,29,23,10,,24,18,7,,36,38,8,,28,27,8,,27,24,7,,23,24,7,
,438,405,145,,401,404,137,5,459,407,131,9,287,312,115,6,244,255,100,9,,,,
GLENEALY  T,69,79,27,,,,,,,,,,,,,,,,,,,,,
TOTAL,507,484,172,,401,404,137,5,459,407,131,9,287,312,115,6,244,255,100,9,254,265,103,11
BAHANA,25,30,8,,15,12,5,,51,31,9,,11,10,3,,9,7,4,,10,9,3,1
BALLINAKILL,33,31,7,,30,23,6,,20,21,5,,15,21,5,,19,22,8,,19,19,8,
BALLINASTRAW,10,12,4,,7,10,3,,9,7,3,,6,6,3,,4,4,2,,1,4,1,1
BARNBAWN,37,38,10,,28,34,9,,18,19,6,,18,13,6,,11,9,4,,9,10,4,
DRUMDANGAN,75,67,23,,33,26,9,,77,61,18,,22,17,7,1,21,18,6,1,14,8,5,
GARRYDUFF,58,57,19,,5,2,2,2,4,3,1,,6,2,1,1,5,2,1,,8,2,1,
GLASNARGET NORTH,23,23,8,,17,17,6,,119,90,32,1,12,9,4,,17,14,4,1,11,19,5,1
STUMP of the CASTLE,89,84,27,,40,39,15,,28,20,7,,20,17,5,,15,13,5,,15,12,6,
TOTAL,350,342,106,,175,163,55,2,326,252,81,1,110,95,34,2,101,89,34,2,87,83,33,3
ALTIDORE DEMESNE,11,26,4,,12,19,4,,9,7,3,1,1,2,1,1,10,15,4,,6,6,2,2
BALLYDONAREA,14,14,5,,7,5,3,,7,12,4,,3,3,3,1,7,4,3,1,9,12,5,
BALLYGANNON,33,25,7,,41,34,10,,34,33,9,,31,24,8,,21,21,7,1,24,18,9,
BALLYHORSEY,33,27,9,2,25,25,6,6,8,7,3,,5,6,1,,4,3,2,,5,5,1,
BALLYNERRIN (ED Kilcoole),17,18,4,,18,16,3,,16,13,3,1,10,8,2,2,13,8,3,,10,4,2,
BALLYRONAN,29,34,8,1,31,30,6,2,22,25,6,,18,24,5,1,12,19,6,,15,14,5,1
BELLEVUE DEMESNE,,,,,8,9,2,,,,,,,,,,,,,,,,,
BROMLEY,9,16,3,,7,13,2,,6,7,2,,3,8,3,1,5,6,3,2,8,11,4,1
BULLFORD,15,9,3,,11,10,3,,11,9,3,,1,1,1,,1,2,1,,6,5,2,
CHARLESLAND,24,21,6,,39,26,10,,18,14,5,,14,12,6,2,8,11,6,,3,5,3,
DOWNS,32,20,13,1,85,79,33,,42,41,19,,58,57,27,,44,46,21,1,44,44,19,2
DRUMMIN EAST,44,33,11,1,22,20,8,,18,16,8,,14,12,7,4,18,18,6,2,11,7,4,2
DRUMMIN WEST,5,5,2,,3,5,1,1,7,6,1,1,4,4,1,,4,4,2,1,1,5,1,2
FARRANKELLY,16,14,4,,11,13,3,1,13,12,4,,13,9,3,,7,3,3,,6,4,3,
HOLYWELL,60,12,2,1,40,9,2,,24,6,2,,5,3,1,,6,3,2,,3,5,2,
JOHNSTOWN,28,35,9,,59,68,24,,7,4,1,,4,3,1,,3,4,1,,3,4,1,
KILCOOLE,107,108,36,2,47,46,19,,44,50,16,3,17,23,10,,17,20,6,2,18,21,9,
KILLICKABAWN,16,22,5,,10,14,4,,12,11,4,1,10,11,4,,10,8,4,,6,6,4,
KILLINPARK,6,6,2,,6,5,1,,2,2,1,,4,2,1,,4,1,1,,1,1,1,
KILPEDDER EAST,53,58,16,3,5,5,3,,6,6,2,,2,4,1,,1,4,1,,,1,1,
KILPEDDER WEST,49,37,16,1,50,41,13,,,,,1,7,10,2,,,,,,2,2,2,
KILQUADE,160,167,48,2,45,43,15,,29,47,15,4,29,28,12,3,31,36,14,1,32,38,11,4
KNOCKROE,57,56,18,2,54,46,18,,58,53,17,,52,45,14,,34,23,13,1,32,24,12,2
MOUNT KENNEDY DEMESNE,,,,,,,,,,,,,2,2,1,,,,,,,,,
PRIESTSNEWTOWN,69,81,21,,53,44,15,,45,44,14,,26,23,7,1,25,21,6,1,16,15,5,
SEAVIEW,9,20,5,1,9,5,3,,4,6,2,1,5,5,2,,3,2,1,1,9,5,2,
STILEBAWN,61,59,20,1,49,69,24,,40,55,18,1,45,57,20,1,40,51,16,2,37,31,14,2
TINNAPARK DEMESNE,12,14,4,,15,6,4,,14,16,4,1,14,10,4,2,22,21,5,,8,8,3,
TOOMAN,9,7,1,,8,9,1,,6,4,1,,5,6,1,,5,4,1,,3,2,1,
WOODLANDS,32,38,12,,43,44,15,,52,56,26,,31,21,13,,19,10,8,1,24,22,11,
,1010,982,294,18,813,758,255,10,554,562,193,15,434,424,162,19,374,374,146,17,342,325,139,18
DOWNS T,81,91,30,2,,,,,,,,,,,,,,,,,,,,
KILCOOLE T,132,164,59,,184,199,68,,209,209,81,1,162,188,75,7,172,171,80,3,171,168,83,1
KILPEDDER T,,,,,,,,,98,97,38,5,88,85,36,2,57,46,27,5,56,53,26,
TOTAL,1223,1237,383,20,997,957,323,13,861,868,312,21,684,697,273,28,603,591,253,25,569,546,248,19
BALLINAHINCH (ED Newcastle Upper),63,70,19,1,54,71,21,,56,54,19,1,54,57,22,,49,51,20,3,55,41,20,1
BALLYBLA,22,17,7,,25,20,7,,16,14,5,,8,11,3,,6,3,1,1,6,2,2,
BALLYCURRY DEMESNE,42,39,14,1,16,25,7,,22,25,8,,19,26,7,,16,27,7,,9,18,6,
BALLYDOREEN,6,7,2,,10,10,4,,8,7,3,,5,12,3,,4,10,3,,6,10,3,
BALLYDUFF LOWER,38,35,8,,24,17,8,,14,10,4,,17,15,8,,17,23,7,1,16,16,6,2
BALLYDUFF UPPER,83,78,23,2,38,26,9,,42,32,13,1,45,35,15,,37,24,11,1,28,23,11,
BALLYHENRY,14,16,3,,19,25,4,,13,18,4,,9,13,4,1,13,15,4,1,9,12,3,2
BALLYMAGHROE,69,85,20,,18,23,5,2,8,5,5,1,20,25,7,,23,23,9,2,20,17,5,2
BALLYMONEEN,,,,,8,6,3,,6,6,2,,7,3,2,,8,4,2,,3,1,1,1
BALLYVOLAN LOWER,37,35,11,,47,49,13,,24,18,7,,19,11,4,,13,14,5,1,10,7,4,3
BALLYVOLAN UPPER,25,22,6,,16,15,6,,9,12,5,,14,17,5,,8,17,4,,7,10,4,
BARNACOYLE BIG,30,21,6,,24,13,4,1,24,21,7,,19,17,6,,16,12,7,,13,12,3,1
BARNACOYLE LITTLE,10,5,1,,12,9,3,,,,,,,,,,,,,,,,,
BIRCHWOOD,4,2,1,,5,3,2,,2,1,1,,5,4,2,,3,3,2,,6,5,2,
BLACKDITCH,26,19,8,2,16,15,6,1,,,,2,,,,,,,,,,,,
BOLEYNASS LOWER,43,31,9,,30,26,7,,47,43,12,,27,20,6,,19,19,8,,8,9,5,2
BOLEYNASS UPPER,27,28,8,1,34,34,11,1,18,16,6,,37,38,15,,29,30,12,,36,34,12,
BROOMFIELD,5,3,1,,3,3,2,,3,3,1,,6,6,2,,14,7,3,,11,16,3,
CARRIGNAMUCK LOWER,19,18,6,,24,24,8,,24,18,8,1,27,26,9,1,15,5,5,,6,4,3,
CARRIGNAMUCK UPPER,8,6,3,,19,15,6,1,23,20,8,,12,12,5,,9,11,4,,7,6,3,
CARROWBAWN,21,24,6,,18,15,7,,14,18,5,,10,7,3,,5,4,2,,5,4,2,
CASTLEGRANGE,14,13,3,1,6,11,3,,14,10,4,,13,11,4,,14,14,4,,6,5,3,
CLORA,17,13,4,1,12,17,5,,19,25,6,1,34,29,10,,24,21,8,6,27,35,10,
COURTFOYLE,36,33,10,,21,17,6,,23,20,7,,19,15,6,,14,18,5,,3,6,2,1
CULLENMORE,31,31,12,,18,23,9,,8,10,4,2,12,13,5,,13,13,4,,7,8,4,
DUNRAN DEMESNE,12,12,2,,10,19,5,,18,23,6,1,10,13,5,,7,7,4,1,5,6,3,2
GRANGE NORTH,41,35,11,2,26,29,11,1,32,38,11,,38,47,12,,34,31,12,,21,19,11,
GRANGE SOUTH,23,21,6,,24,10,3,1,16,4,1,,11,5,1,,13,4,1,,8,3,1,
INCHANAPPA NORTH,7,12,4,,3,3,1,3,3,2,1,,5,4,2,,3,1,2,1,1,1,1,1
INCHANAPPA SOUTH,9,19,5,,26,20,6,1,8,13,3,,7,9,2,,4,3,2,,8,5,4,
KELLYSTOWN,8,9,2,,2,5,1,,5,4,1,,5,3,1,,6,7,1,,,,,1
KILLISKEY,,,,,30,27,12,3,30,31,11,,30,29,12,,27,28,12,,16,24,11,1
KILMARTIN,16,13,4,,12,9,4,,12,10,5,,10,7,4,,9,9,4,,18,20,6,
KILTIMON,10,17,5,,24,26,8,,39,31,11,,33,30,10,2,30,27,8,1,25,27,8,
KNOCKADREET,31,25,6,,34,34,9,,21,28,10,,20,21,10,,23,15,7,,14,12,7,
MOORSTOWN,30,28,7,,17,20,5,,12,20,6,,15,13,8,,11,10,6,1,11,11,4,1
NEWTOWNBOSWELL,15,12,2,,17,7,3,,12,9,3,,9,5,2,,7,4,2,,14,9,4,
RATHMORE,18,9,2,,25,10,2,,18,3,1,,11,4,1,,3,1,2,,3,1,1,
TIGLIN (ED Ballycullen),23,18,3,,14,14,3,,10,6,3,,8,10,3,,4,8,3,1,6,6,2,2
TIGLIN (ED Newcastle Lower),77,73,22,,39,42,13,2,15,17,6,6,10,10,5,1,4,6,2,2,3,3,1,1
TOMCOYLE LOWER,7,7,2,,25,38,11,,9,10,2,,7,9,2,,9,10,2,,10,10,2,1
TOMCOYLE UPPER,37,39,12,,12,16,4,,8,8,2,,6,7,2,,4,7,2,,4,6,2,
,1054,1000,286,11,857,841,267,17,705,663,227,16,680,649,233,5,567,546,210,22,,,,
KILLISKEY T,75,82,23,3,,,,,,,,,,,,,,,,,,,,
TOTAL,1129,1082,309,14,857,841,267,17,705,663,227,16,680,649,233,5,567,546,210,22,471,464,185,25
BALLYCRONE,5,8,2,,7,9,2,,7,5,2,,12,10,3,,3,3,1,,1,2,1,
BALLYDONAREA,20,21,4,,18,13,5,,19,20,8,,38,30,10,4,27,29,10,1,20,22,6,2
BALLYLOUGHLIN,11,5,2,,3,3,1,1,7,8,2,,10,8,2,,5,2,1,1,6,5,2,
BALLYPHILIP,4,4,1,,4,5,1,,3,5,1,,3,5,1,1,2,5,1,,2,3,1,
BLACKDITCH,24,26,8,,32,22,7,,27,16,5,,20,10,5,,20,15,6,1,22,17,7,
COOLDROSS LOWER,5,7,2,,7,3,2,,2,7,2,,1,2,1,,2,1,1,,1,7,1,
COOLDROSS MIDDLE,4,3,1,,3,1,1,,4,1,1,,3,3,1,,2,7,1,,2,1,1,
COOLDROSS UPPER,8,4,2,,8,4,2,,4,5,1,1,18,16,7,,17,12,6,1,11,9,4,
CREOWEN,15,21,6,,16,9,5,2,9,9,5,1,6,2,3,1,5,4,2,,,,,
KILLADREENAN,88,66,23,1,62,57,20,2,43,36,16,,28,28,10,3,41,37,13,2,29,33,12,
KILMULLIN (ED Newcastle Lower),53,50,14,1,51,48,12,,29,28,8,2,14,20,7,,20,15,8,,21,14,7,
KILQUADE,3,3,1,1,3,6,2,,7,7,2,,5,8,2,,8,7,2,,10,7,2,
LEABEG LOWER,6,9,3,,9,9,3,,6,6,2,,7,7,2,,5,9,2,,5,6,2,
LEABEG MIDDLE,11,11,2,,8,6,2,,6,9,3,,6,5,2,1,9,5,3,,11,9,3,
LEABEG UPPER,7,7,1,,7,2,1,,7,,1,,5,1,1,,1,3,1,,4,5,2,
LEAMORE LOWER,33,50,12,,9,3,2,,12,10,3,,8,8,3,1,8,7,2,,2,1,1,
LEAMORE UPPER,30,32,9,1,52,65,17,1,43,38,12,,19,21,6,,13,15,3,,18,11,4,
NEWCASTLE LOWER,19,16,4,,8,4,1,,34,41,12,,31,31,10,,6,10,4,2,3,4,1,
NEWCASTLE MIDDLE,18,12,3,,41,41,11,,24,39,10,4,43,47,16,2,,,,,4,12,3,3
NEWCASTLE UPPER,92,94,20,,60,68,16,,43,63,15,,41,56,16,2,23,34,11,2,21,27,9,1
SLATE,12,13,2,,7,9,2,,6,4,1,,4,4,1,,3,4,1,,2,3,1,
TIGLIN,36,35,11,,10,16,5,,7,10,4,1,7,12,4,,8,6,2,,5,5,2,
WOODSTOCK DEMESNE,13,16,4,,11,21,4,,12,15,4,,12,17,4,,15,15,4,,9,12,4,1
,517,513,137,4,436,424,124,6,361,382,120,9,341,357,117,15,240,248,85,10,209,215,76,7
NEWCASTLE,87,109,28,1,35,39,13,3,,,,,,,,,71,73,23,2,59,51,21,2
TOTAL,604,622,165,5,471,463,137,9,361,382,120,9,341,357,117,15,311,321,108,12,268,266,97,9
ALTIDORE DEMESNE,8,6,2,,8,12,2,,1,3,1,,3,2,1,,,,,1,,,,1
BALLINAHINCH LOWER,38,39,10,,18,28,8,,11,13,3,1,15,15,5,,10,11,3,2,9,4,2,
BALLINAHINCH MIDDLE,2,8,2,,16,9,3,,10,13,3,,15,15,8,,8,5,3,,6,4,2,
BALLINAHINCH UPPER,82,80,22,1,72,70,16,3,40,30,12,1,40,22,8,,43,21,3,,29,12,6,2
BALLYGARRET,17,16,3,,13,21,2,,10,4,1,,3,3,1,,3,4,1,,,,,
CALLOWHILL LOWER,22,18,4,,11,12,3,,9,12,3,,6,8,2,,8,7,2,,7,3,1,1
CALLOWHILL UPPER,16,11,4,,8,9,3,,15,12,3,,17,10,4,,16,14,4,,5,8,3,
COOLADOYLE,,,,,4,5,2,1,6,5,2,,4,6,2,,1,1,2,,6,3,1,1
CORSILLAGH,50,60,19,,42,44,12,,12,10,3,,10,12,3,,4,4,2,,4,5,3,
DUNRAN DEMESNE,4,2,1,,5,6,1,,10,13,5,,,,,,,,,,,,,
DUNRANHILL,46,63,21,,74,76,25,,35,33,10,,45,51,18,2,25,27,11,1,25,21,11,
EASTHILL,12,11,3,,9,12,2,,3,3,2,,3,4,2,,1,1,1,1,1,3,2,
GLENDARRAGH,26,29,8,,10,9,3,1,30,36,12,,9,15,4,,17,19,7,1,11,18,7,1
KEELOGE LOWER,27,21,5,,16,16,6,,11,14,5,,17,19,6,,21,17,5,,17,8,3,
KEELOGE UPPER,17,11,3,,12,5,2,,8,5,2,,7,5,2,,5,5,2,,6,4,2,
KILDAY,16,11,4,,17,8,3,,15,13,3,,9,9,2,,15,13,4,,13,10,4,
KILMACULLAGH,59,55,20,3,23,36,12,1,20,15,6,3,21,22,8,1,13,19,7,,12,18,5,1
KILMURRY,42,53,15,3,40,31,10,1,19,16,5,1,8,8,4,,7,10,3,1,,1,1,1
